month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-02-01,A11C,1,1,100.0,1,100.0,1,,0.0,,0
2023-02-01,J01C,1,0,0.0,0,,1,2600.0,1.0,,1
2023-02-01,M01A,1,0,0.0,0,,1,,0.0,,1
2023-02-01,N02B,1,1,100.0,0,0.0,1,,0.0,,0
2023-02-01,R01A,1,0,0.0,0,,1,,0.0,,1
2023-02-01,R06A,1,1,100.0,1,100.0,1,,0.0,,0
2023-03-01,A02B,22,21,95.45,19,90.48,20,231.82,15.0,,0
2023-03-01,A03A,3,3,100.0,3,100.0,3,2100.0,1.0,,0
2023-03-01,A03F,1,1,100.0,1,100.0,1,4700.0,0.0,,0
2023-03-01,A07E,1,1,100.0,1,100.0,1,8300.0,0.0,,0
2023-03-01,A10A,1,1,100.0,1,100.0,1,6800.0,1.0,,0
2023-03-01,A10B,4,3,75.0,3,100.0,4,1500.0,3.0,,0
2023-03-01,A11C,3,2,66.67,2,100.0,3,1400.0,3.0,0.0,1
2023-03-01,A11D,2,1,50.0,1,100.0,2,2100.0,2.0,,1
2023-03-01,A11E,1,0,0.0,0,,1,7400.0,1.0,,1
2023-03-01,A12B,4,3,75.0,2,66.67,4,1512.5,2.0,,0
2023-03-01,A16A,2,1,50.0,1,100.0,2,3200.0,2.0,,1
2023-03-01,B01A,8,8,100.0,5,62.5,8,837.5,5.0,,0
2023-03-01,B03B,1,0,0.0,0,,1,4200.0,1.0,,1
2023-03-01,C01D,2,2,100.0,2,100.0,2,3925.0,0.0,,0
2023-03-01,C01E,2,2,100.0,2,100.0,2,3350.0,1.0,,0
2023-03-01,C02A,3,3,100.0,2,66.67,3,1566.67,2.0,,0
2023-03-01,C02C,2,2,100.0,1,50.0,2,2850.0,0.0,,0
2023-03-01,C03B,2,2,100.0,2,100.0,2,2900.0,2.0,,0
2023-03-01,C03C,4,3,75.0,3,100.0,4,1512.5,2.0,,0
2023-03-01,C03D,1,1,100.0,1,100.0,1,7400.0,0.0,,0
2023-03-01,C03E,1,1,100.0,1,100.0,1,3800.0,1.0,,0
2023-03-01,C04A,1,0,0.0,0,,1,4900.0,0.0,,1
2023-03-01,C07A,18,18,100.0,17,94.44,16,333.33,12.0,,0
2023-03-01,C08C,9,9,100.0,8,88.89,9,666.67,6.0,,0
2023-03-01,C09A,14,13,92.86,11,84.62,12,407.14,10.0,,0
2023-03-01,C09B,21,20,95.24,18,90.0,20,285.71,14.0,,0
2023-03-01,C09C,2,2,100.0,2,100.0,2,2600.0,1.0,,0
2023-03-01,C09D,2,2,100.0,2,100.0,2,1925.0,1.0,,0
2023-03-01,C10A,17,16,94.12,11,68.75,16,352.94,10.0,,0
2023-03-01,C10B,1,1,100.0,1,100.0,1,4400.0,1.0,,0
2023-03-01,D01A,1,1,100.0,1,100.0,1,7900.0,1.0,,0
2023-03-01,D07A,1,0,0.0,0,,1,4800.0,1.0,,1
2023-03-01,D07C,1,1,100.0,1,100.0,1,6300.0,0.0,,0
2023-03-01,G01A,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-03-01,G04C,1,1,100.0,1,100.0,1,8300.0,0.0,,0
2023-03-01,H03A,1,1,100.0,1,100.0,1,7900.0,1.0,,0
2023-03-01,ISMT,1,0,0.0,0,,1,7900.0,1.0,,1
2023-03-01,J01C,5,5,100.0,5,100.0,5,1180.0,3.0,,0
2023-03-01,J01F,4,4,100.0,4,100.0,3,1112.5,4.0,,0
2023-03-01,J01M,4,3,75.0,3,100.0,4,1050.0,3.0,,0
2023-03-01,M01A,20,17,85.0,16,94.12,18,250.0,14.0,,0
2023-03-01,M02A,4,4,100.0,4,100.0,4,1437.5,4.0,,0
2023-03-01,M03B,3,2,66.67,2,100.0,3,1266.67,3.0,,1
2023-03-01,M04A,4,3,75.0,1,33.33,4,1625.0,2.0,,0
2023-03-01,MISSING,18,18,100.0,15,83.33,10,300.0,14.0,,0
2023-03-01,N02A,6,6,100.0,6,100.0,4,875.0,6.0,,0
2023-03-01,N02B,6,5,83.33,4,80.0,6,916.67,1.0,,0
2023-03-01,N02C,1,1,100.0,0,0.0,1,2800.0,1.0,,0
2023-03-01,N03A,4,2,50.0,2,100.0,4,1437.5,1.0,,1
2023-03-01,N05A,1,1,100.0,1,100.0,1,5500.0,0.0,,0
2023-03-01,N05B,13,12,92.31,12,100.0,10,423.08,10.0,,0
2023-03-01,N06A,3,3,100.0,3,100.0,3,1833.33,1.0,,0
2023-03-01,N06B,5,5,100.0,4,80.0,5,1200.0,3.0,,0
2023-03-01,N07C,2,2,100.0,2,100.0,2,3400.0,2.0,,0
2023-03-01,P02C,1,0,0.0,0,,1,5800.0,1.0,,1
2023-03-01,R01A,2,2,100.0,1,50.0,2,3325.0,1.0,,0
2023-03-01,R03A,6,6,100.0,5,83.33,6,916.67,3.0,,0
2023-03-01,R03B,5,5,100.0,5,100.0,5,1180.0,2.0,,0
2023-03-01,R03D,7,6,85.71,5,83.33,7,900.0,4.0,,0
2023-03-01,R05D,1,0,0.0,0,,1,3500.0,1.0,,1
2023-03-01,R05F,1,1,100.0,1,100.0,1,2700.0,1.0,,0
2023-03-01,R06A,6,6,100.0,6,100.0,5,941.67,4.0,,0
2023-04-01,A02B,33,30,90.91,29,96.67,32,166.67,26.0,0.0,0
2023-04-01,A03A,2,2,100.0,1,50.0,2,3550.0,2.0,,0
2023-04-01,A03F,3,3,100.0,3,100.0,3,2266.67,3.0,,0
2023-04-01,A06A,1,1,100.0,1,100.0,1,6800.0,1.0,,0
2023-04-01,A07X,1,1,100.0,1,100.0,1,0.0,0.0,,0
2023-04-01,A09A,1,1,100.0,1,100.0,1,5100.0,1.0,,0
2023-04-01,A10A,2,2,100.0,2,100.0,2,3225.0,2.0,,0
2023-04-01,A10B,7,5,71.43,4,80.0,7,971.43,5.0,,0
2023-04-01,A11C,7,5,71.43,5,100.0,7,985.71,6.0,,0
2023-04-01,A11D,2,2,100.0,1,50.0,2,2500.0,2.0,,0
2023-04-01,A11E,1,0,0.0,0,,1,6300.0,0.0,,1
2023-04-01,A11G,1,1,100.0,1,100.0,1,5100.0,1.0,,0
2023-04-01,A11H,1,1,100.0,1,100.0,1,5100.0,1.0,,0
2023-04-01,A12A,1,1,100.0,1,100.0,1,7500.0,0.0,,0
2023-04-01,A12B,4,3,75.0,3,100.0,4,1537.5,4.0,,0
2023-04-01,A12C,1,1,100.0,1,100.0,1,5100.0,1.0,,0
2023-04-01,A16A,1,1,100.0,1,100.0,1,6800.0,1.0,,0
2023-04-01,B01A,20,20,100.0,19,95.0,20,315.0,13.0,,0
2023-04-01,B03A,4,3,75.0,2,66.67,4,1312.5,3.0,,0
2023-04-01,B03B,1,1,100.0,1,100.0,1,4500.0,1.0,,0
2023-04-01,C01A,1,0,0.0,0,,1,7000.0,1.0,,1
2023-04-01,C01D,1,1,100.0,1,100.0,1,5500.0,1.0,,0
2023-04-01,C01E,6,6,100.0,5,83.33,6,1125.0,4.0,,0
2023-04-01,C02A,2,2,100.0,2,100.0,2,3700.0,2.0,,0
2023-04-01,C02C,2,2,100.0,2,100.0,2,3275.0,1.0,,0
2023-04-01,C03A,1,1,100.0,1,100.0,1,6400.0,1.0,,0
