atc3_code,month_start,packages,year,month,month_index,packages_lag1,packages_lag2,packages_lag3,packages_lag12
A02B,2023-05-01,86,2023,5,5,62.0,31.0,0.0,
A02B,2023-06-01,56,2023,6,6,86.0,62.0,31.0,
A02B,2023-07-01,80,2023,7,7,56.0,86.0,62.0,
A02B,2023-08-01,87,2023,8,8,80.0,56.0,86.0,
A02B,2023-09-01,84,2023,9,9,87.0,80.0,56.0,
A02B,2023-10-01,91,2023,10,10,84.0,87.0,80.0,
A02B,2023-11-01,25,2023,11,11,91.0,84.0,87.0,
A02B,2023-12-01,34,2023,12,12,25.0,91.0,84.0,
A02B,2024-01-01,75,2024,1,13,34.0,25.0,91.0,
A02B,2024-02-01,89,2024,2,14,75.0,34.0,25.0,0.0
A02B,2024-03-01,87,2024,3,15,89.0,75.0,34.0,31.0
A02B,2024-04-01,69,2024,4,16,87.0,89.0,75.0,62.0
A02B,2024-05-01,76,2024,5,17,69.0,87.0,89.0,86.0
A02B,2024-06-01,64,2024,6,18,76.0,69.0,87.0,56.0
A02B,2024-07-01,65,2024,7,19,64.0,76.0,69.0,80.0
A02B,2024-08-01,96,2024,8,20,65.0,64.0,76.0,87.0
A02B,2024-09-01,98,2024,9,21,96.0,65.0,64.0,84.0
A02B,2024-10-01,67,2024,10,22,98.0,96.0,65.0,91.0
A02B,2024-11-01,82,2024,11,23,67.0,98.0,96.0,25.0
A02B,2024-12-01,55,2024,12,24,82.0,67.0,98.0,34.0
A02B,2025-01-01,9,2025,1,25,55.0,82.0,67.0,75.0
A03A,2023-05-01,5,2023,5,5,1.0,4.0,0.0,
A03A,2023-06-01,4,2023,6,6,5.0,1.0,4.0,
A03A,2023-07-01,2,2023,7,7,4.0,5.0,1.0,
A03A,2023-08-01,6,2023,8,8,2.0,4.0,5.0,
A03A,2023-09-01,6,2023,9,9,6.0,2.0,4.0,
A03A,2023-10-01,12,2023,10,10,6.0,6.0,2.0,
A03A,2023-11-01,1,2023,11,11,12.0,6.0,6.0,
A03A,2023-12-01,5,2023,12,12,1.0,12.0,6.0,
A03A,2024-01-01,5,2024,1,13,5.0,1.0,12.0,
A03A,2024-02-01,16,2024,2,14,5.0,5.0,1.0,0.0
A03A,2024-03-01,5,2024,3,15,16.0,5.0,5.0,4.0
A03A,2024-04-01,9,2024,4,16,5.0,16.0,5.0,1.0
A03A,2024-05-01,3,2024,5,17,9.0,5.0,16.0,5.0
A03A,2024-06-01,10,2024,6,18,3.0,9.0,5.0,4.0
A03A,2024-07-01,0,2024,7,19,10.0,3.0,9.0,2.0
A03A,2024-08-01,8,2024,8,20,0.0,10.0,3.0,6.0
A03A,2024-09-01,5,2024,9,21,8.0,0.0,10.0,6.0
A03A,2024-10-01,1,2024,10,22,5.0,8.0,0.0,12.0
A03A,2024-11-01,3,2024,11,23,1.0,5.0,8.0,1.0
A03A,2024-12-01,3,2024,12,24,3.0,1.0,5.0,5.0
A03A,2025-01-01,0,2025,1,25,3.0,3.0,1.0,5.0
A03F,2023-05-01,2,2023,5,5,3.0,1.0,0.0,
A03F,2023-06-01,1,2023,6,6,2.0,3.0,1.0,
A03F,2023-07-01,2,2023,7,7,1.0,2.0,3.0,
A03F,2023-08-01,4,2023,8,8,2.0,1.0,2.0,
A03F,2023-09-01,5,2023,9,9,4.0,2.0,1.0,
A03F,2023-10-01,4,2023,10,10,5.0,4.0,2.0,
A03F,2023-11-01,0,2023,11,11,4.0,5.0,4.0,
A03F,2023-12-01,0,2023,12,12,0.0,4.0,5.0,
A03F,2024-01-01,1,2024,1,13,0.0,0.0,4.0,
A03F,2024-02-01,6,2024,2,14,1.0,0.0,0.0,0.0
