atc3_code,total_packages,mean,std,min,max,median,n_months,n_zero_months,pct_zero,trend,seasonal_strength,growth_rate_annualized
C09B,1547,73.66666666666667,25.525150995309183,8,119,76.0,21,0,0.0,Stable,0.29147874672053087,-72.16521686147144
A02B,1475,70.23809523809524,23.59005036430563,9,98,76.0,21,0,0.0,Stable,0.2501624429225141,-72.46698651074837
C07A,1395,66.42857142857143,23.234826077617686,3,98,72.0,21,0,0.0,Increasing,0.24820865358865002,-83.3325251687882
M01A,1313,62.523809523809526,23.93244460480176,5,101,67.0,21,0,0.0,Stable,0.26589641881712645,-75.82730890135075
N05B,1097,52.23809523809524,22.19888457086248,1,94,56.0,21,0,0.0,Stable,0.3117893486910637,-90.45421776204444
B01A,1021,48.61904761904762,20.330952241536036,1,75,52.0,21,0,0.0,Stable,0.30887103293521,-89.05311082150592
C10A,826,39.333333333333336,14.4994252759664,7,70,38.0,21,0,0.0,Stable,0.3260635462936553,-58.040774441126345
C09A,658,31.333333333333332,9.75875675141733,0,45,32.0,21,1,4.761904761904762,Stable,0.24873164026059508,-100.0
A10B,658,31.333333333333332,14.065323790561429,0,49,37.0,21,1,4.761904761904762,Increasing,0.2717775916318625,-100.0
N02A,500,23.80952380952381,11.931550811269455,0,46,25.0,21,1,4.761904761904762,Decreasing,0.42067901687430226,-100.0
R03A,418,19.904761904761905,10.783806201452075,0,43,18.0,21,1,4.761904761904762,Increasing,0.30933060276576585,-100.0
C08C,401,19.095238095238095,9.969477227541883,0,44,18.0,21,1,4.761904761904762,Increasing,0.2757301044009053,-100.0
N02B,381,18.142857142857142,8.895424184858832,0,36,16.0,21,1,4.761904761904762,Decreasing,0.40566996297698416,-100.0
N06B,284,13.523809523809524,6.968637224156869,2,32,14.0,21,0,0.0,Decreasing,0.3087032343990846,-79.49161609980905
M04A,278,13.238095238095237,6.487717332812535,0,24,13.0,21,1,4.761904761904762,Increasing,0.35361378810083016,-100.0
R06A,263,12.523809523809524,6.353101979498264,0,26,13.0,21,1,4.761904761904762,Decreasing,0.4032826348056398,-100.0
C09C,262,12.476190476190476,7.586956225121162,0,27,13.0,21,1,4.761904761904762,Increasing,0.5100838914539559,-100.0
R03D,252,12.0,6.348228099241551,0,24,13.0,21,1,4.761904761904762,Increasing,0.40042072619620395,-100.0
C09D,245,11.666666666666666,5.952590472502987,0,24,12.0,21,1,4.761904761904762,Increasing,0.3784771927572631,-100.0
C01E,241,11.476190476190476,7.061296252240432,0,27,10.0,21,1,4.761904761904762,Increasing,0.5625641702337716,-100.0
J01C,240,11.428571428571429,6.896168708576006,0,28,9.0,21,1,4.761904761904762,Decreasing,0.38797937078430217,-100.0
J01F,237,11.285714285714286,6.972394546659398,0,26,9.0,21,1,4.761904761904762,Increasing,0.44237199581938536,-100.0
A11C,233,11.095238095238095,5.9657754056347265,0,25,11.0,21,1,4.761904761904762,Stable,0.4602092862990833,-100.0
