atc3_code,forecast_date,last_observed_date,last_observed_value,n_months_history,xgb_forecast,rf_forecast,lr_forecast,prophet_forecast,sarima_forecast,average_forecast
C09B,2025-01-01,2024-12-01,60,20,85.39749,94.26,111.27358563596971,91.71014341841266,128.25483875755648,102.1792118534034
A02B,2025-01-01,2024-12-01,55,20,77.3159,74.32,80.50667968222609,74.53584010488761,142.34083985533846,89.80385247048261
C07A,2025-01-01,2024-12-01,72,20,69.4501,77.15,92.19906050135967,79.87551696364935,104.63260413756201,84.66145707246733
M01A,2025-01-01,2024-12-01,54,20,60.296143,69.52,59.4320014904182,61.88636044130149,159.05213880062269,82.03732866209347
N05B,2025-01-01,2024-12-01,57,20,43.188774,67.57,64.92415372321818,47.99258753114943,100.54232473517997,64.84356801968686
B01A,2025-01-01,2024-12-01,39,20,28.127872,48.31,60.644247558722554,45.42669179627703,111.57699396354016,58.81716115711615
C10A,2025-01-01,2024-12-01,24,20,34.856754,41.79,52.55522155889665,49.12290246321035,66.14585612423924,48.894146889864956
C09A,2025-01-01,2024-12-01,32,20,30.50336,29.23,34.181531855123986,32.08389165549028,57.10291676181166,36.62034020414339
A10B,2025-01-01,2024-12-01,33,20,47.86668,43.26,54.033126987371986,46.51254176297693,69.21781790310406,52.178033359743324
N02A,2025-01-01,2024-12-01,12,20,22.798979,23.48,30.829204483202176,21.45253999141164,47.29707132259284,29.171558920549728
